"","A1","A2","A3","A4","A5","A6","B1","B2","B3","B4","B5","B6","C1","C2","C3","C4","C5","C6","D1","D2","D3","D4","D5","D6"
"ENSG00000259326",26.970319497716,20.6786457657295,21.9299970490759,17.6137469967344,16.0722426260881,20.3132609330952,31.3792559814244,36.1314311703646,30.1080028785289,30.9538663305892,33.5066052323943,34.3794977771872,23.1452291509681,32.9130069760493,29.0866746606852,25.7382688973172,27.6484174191734,30.7709946507225,23.6630901893121,31.4368437894217,40.3831454799192,17.0242453089081,28.1195419805255,26.1525515380269
"ENSG00000259336",26.970319497716,26.5868302702237,27.6155518395771,34.3887441364814,30.2536331785187,36.5638696795714,37.2628664779415,29.9626502388389,25.4760024356783,36.2907398358632,30.7898534567947,28.9511560228945,26.1641720837031,27.7703496360416,26.5202033670953,24.7087381414245,28.4862482500574,33.1379942392397,31.5507869190827,19.2677429677101,36.6265738073686,20.6082969528888,24.2850589831811,25.0154840798518
"ENSG00000259363",34.5220089570765,46.2807786185375,40.6111056464368,29.3562449945573,29.30820714169,28.4385653063333,29.4180524825854,29.9626502388389,39.3720037642301,22.4148687221508,37.1289409331936,39.8078395314799,22.1389148400565,27.7703496360416,28.2311842294886,23.6792073855318,26.8105865882893,29.587494856464,34.9312283746987,21.2959264379954,35.6874308892309,27.7764002408501,31.9540249778699,20.4672142471515
"ENSG00000259366",126.221095249311,131.949453933703,147.82442455303,147.619974829774,122.905384787732,131.020533018464,115.711006431502,143.644470262669,147.066014060506,156.904081055055,150.326931583174,165.564423505928,128.808231796692,162.507971944243,160.832201064965,116.336975415874,142.431241250287,153.854973253613,161.13437605103,141.972842919969,139.932294802511,139.778014115246,176.386217877842,130.762757690134
"LINC02895",19.4186300383555,14.7704612612354,8.9344432422161,10.0649982838482,9.45426036828709,9.14096741989285,15.6896279907122,10.5750530254726,9.2640008857012,12.8084964126576,11.772591027598,16.2850252628781,9.05682879820492,7.19972027601078,10.2658851743595,8.23624604714149,10.8918008014925,9.46799835406847,16.90220727808,14.1972842919969,8.45228626323891,16.128232397913,8.94712699380358,12.5077420399259
"ENSG00000259408",28.0491322776247,27.5715276876393,18.6811085973609,26.0012455666079,32.1444852521761,25.391576166369,29.4180524825854,23.7938693073132,20.8440019928277,22.4148687221508,29.8842695315949,34.3794977771872,31.1957436382614,31.8844755080477,26.5202033670953,21.6201458737464,26.8105865882893,22.4864960909126,31.5507869190827,26.3663851137085,29.1134304622673,33.1524777068211,26.8413809814107,32.9749562870774
"ENSG00000259432",11.8669405789951,17.7245535134824,9.74666535514484,10.0649982838482,13.2359645156019,11.1722935132024,21.5732384872293,14.9813251194195,12.7380012178391,13.8758711137124,7.24467140159876,18.9991961400245,22.1389148400565,16.4565034880246,21.3872607799156,12.3543690707122,22.6214324338691,7.10099876555136,5.63406909269335,10.1409173514264,4.69571459068828,3.58405164398066,8.94712699380358,7.95947220722557
"LINC01833",261.072692737891,263.898907867405,272.094407831127,258.334955952104,242.974491464978,289.463968296607,276.529693336302,274.951378662286,281.394026903174,252.967804149987,277.108681111153,309.415479994685,214.344948224183,230.391048832345,228.415945129499,202.817558910859,234.592632647532,207.112463995248,158.880748413952,195.719704882529,173.741439855466,190.85075004197,219.843691847745,201.260940096989
"LINC02352",10.7881277990864,12.801066426404,8.12222112928737,15.0974974257723,11.3451124419445,7.10964132658332,5.88361049651707,7.05003535031504,15.0540014392644,13.8758711137124,9.96142317719829,10.8566835085854,11.0694574200282,9.25678321201386,11.1213756055561,7.2067152912488,4.18915415442021,7.10099876555136,9.01451054830935,8.11273388114109,9.39142918137656,8.96012910995165,7.66896599468878,3.41120237452524
"ENSG00000259453",11.8669405789951,11.8163690089883,12.1833316939311,15.9362472827597,17.0176686629168,19.2975978864405,20.5926367378098,23.7938693073132,20.8440019928277,17.0779952168768,17.206094578797,23.5228142686017,16.1010289745865,11.3138461480169,17.9652990551291,14.4134305824976,18.4322782794489,10.651498148327,11.2681381853867,13.1831925568543,15.9654296083402,12.5441807539323,24.2850589831811,12.5077420399259
"ENSG00000259523",12.9457533589037,9.84697417415691,4.06111056464368,10.9037481408356,15.1268165892593,9.14096741989285,10.7866192436146,5.28752651273628,13.8960013285518,12.8084964126576,9.96142317719829,11.7614071343009,7.04420017638161,12.3423776160185,6.84392344957299,12.3543690707122,8.37830830884042,8.28449855980992,13.521765822464,14.1972842919969,7.51314334510125,10.752154931942,5.11264399645919,10.2336071235757
"ENSG00000259539",45.3101367561629,39.3878966966276,36.5499950817932,36.0662438504561,43.4895976941206,31.4855544462976,32.3598577308439,40.5377032643115,25.4760024356783,38.4254892379728,34.4121891575941,25.3322615200327,33.2083722600847,38.055664316057,32.5086363854717,41.1812302357074,24.2970940956372,42.6059925933081,29.2971592820054,21.2959264379954,25.3568587897167,27.7764002408501,26.8413809814107,27.2896189962019
"ENSG00000259554",9.70931501917777,17.7245535134824,12.9955538068598,10.9037481408356,11.3451124419445,14.2192826531666,11.7672209930341,10.5750530254726,11.5800011071265,14.9432458147672,9.05583925199845,12.6661307600163,21.1326005291448,16.4565034880246,14.5433373303426,14.4134305824976,19.270109110333,15.3854973253613,16.90220727808,16.2254677622822,13.1480008539272,8.06411619895649,19.1724149867219,15.9189444144511
"ENSG00000259623",241.654062699536,251.097841441001,259.911076137196,239.882459098382,280.791532938127,262.041066036928,274.568489837463,304.914028901125,336.978032217381,264.70892586159,333.254884473543,292.225731106091,255.603834971561,292.102936912437,300.277141350015,282.091427114596,247.160095110792,273.388452473727,313.25424155375,341.748914743068,277.986303768746,223.107214837796,272.248292811452,214.90574959509
"ENSG00000259644",35.6008217369852,46.2807786185375,27.6155518395771,30.1949948515446,25.5265029943751,32.5012174929523,38.243468227361,35.2501767515752,23.160002214253,28.8191169284796,29.8842695315949,42.5220104086262,31.1957436382614,34.9700699120524,28.2311842294886,27.7973304091025,30.9997407427096,36.6884936220153,55.2138771083948,46.6482198165613,43.2005742343322,41.2165939057776,33.2321859769847,30.7008213707272
"ENSG00000259735",3.23643833972592,3.93878966966276,2.43666633878621,3.3549994279494,1.89085207365742,1.01566304665476,5.88361049651707,6.16878093152566,3.47400033213795,3.2021241031644,4.52791962599922,8.14251263143907,22.1389148400565,30.8559440400462,28.2311842294886,32.944984188566,25.9727557574053,27.2204952679469,15.7753934595414,18.2536512325674,15.0262866902025,19.7122840418936,14.0597709902628,14.7818769562761
"ENSG00000259774",8.63050223926913,6.89288192190984,9.74666535514484,10.9037481408356,7.56340829462967,10.1566304665476,7.8448139953561,8.81254418789379,1.15800011071265,11.7411217116028,11.772591027598,13.5708543857318,4.02525724364663,10.2853146800154,8.55490431196624,10.2953075589269,10.8918008014925,9.46799835406847,11.2681381853867,13.1831925568543,13.1480008539272,14.3362065759226,11.5034489920332,3.41120237452524
"ENSG00000259865",63.6499540146098,99.4544391589848,97.4666535514484,89.7462346976465,103.996864051158,88.3626850589642,123.555820426859,115.444328861409,112.326010739127,92.8615989917675,112.292406724781,111.281005963001,94.5935452256959,124.452307628186,138.589449853853,98.8349525656979,77.0804364413319,118.349979425856,120.569078583638,142.986934655112,133.358294375547,87.8092652775262,131.650582908824,78.4576546140806
"ENSG00000259891",69.044017914153,56.1277527926944,64.9777690342989,57.8737401321272,57.6709882465512,58.9084567059761,47.0688839721366,44.062720939469,47.4780045392186,51.2339856506304,53.4294515867908,40.7125631571953,57.3599157219645,37.0271328480554,49.6184450094042,50.4470070387416,54.4590040074627,59.174989712928,60.8479462010881,34.4791189948496,45.0788600706075,35.8405164398066,40.9011519716735,48.8939007015285
"ENSG00000259915",26.970319497716,31.5103173573021,38.9866614205794,41.0987429923802,25.5265029943751,32.5012174929523,42.165875225039,35.2501767515752,49.7940047606439,29.8864916295344,38.0345248583935,44.3314576600571,38.239943814643,26.74181816804,41.9190311286346,41.1812302357074,25.1349249265213,21.3029962966541,45.0725527415468,42.5918528759907,43.2005742343322,33.1524777068211,31.9540249778699,30.7008213707272
"ENSG00000259932",24.8126939378987,6.89288192190984,12.1833316939311,17.6137469967344,24.5810769575464,18.2819348397857,27.4568489837463,24.6751237261026,17.3700016606897,18.1453699179316,21.7340142047963,16.2850252628781,14.0884003527632,12.3423776160185,12.8323564679494,13.3838998266049,18.4322782794489,14.2019975311027,29.2971592820054,16.2254677622822,32.870002134818,26.880387329855,28.1195419805255,21.6042817053265
"ENSG00000259935",7.55168945936049,9.84697417415691,10.5588874680736,15.0974974257723,9.45426036828709,11.1722935132024,25.4956454849073,14.9813251194195,22.0020021035403,13.8758711137124,16.3005106535972,15.3803016371627,11.0694574200282,12.3423776160185,8.55490431196624,9.26577680303417,8.37830830884042,15.3854973253613,9.01451054830935,8.11273388114109,7.51314334510125,4.48006455497583,11.5034489920332,4.54826983270032
"ENSG00000259946",236.259998799992,319.041963242684,305.395514461205,236.527459670433,325.226556669076,282.354326970023,314.773161563663,312.84531867023,309.186029560277,286.056419882686,277.108681111153,313.939098123262,269.692235324324,247.876083788371,333.641268166683,277.973304091025,308.321745765327,279.30595144502,281.703454634667,273.804768488512,281.742875441297,240.131460146704,237.737945835352,231.961761467717
"LINC02977",151.03378918721,131.949453933703,151.073313004745,119.102479692204,147.486461745279,156.412109184833,178.469518394351,157.744540963299,178.332017049748,141.960835240288,137.648756630376,164.659699880212,165.035546989512,154.279720200231,161.687691496162,133.838998266049,154.160872882664,150.304473870837,141.978541135872,149.071485065968,150.262866902025,157.698272335149,139.319548903513,118.255015650208
"ENSG00000259959",162.900729766205,172.322048047746,173.003310053821,180.33121925228,174.903816813311,169.615728791345,209.848774375776,209.738551671872,186.438017824737,193.194820890919,189.267040366768,185.468343271668,166.041861300424,175.878881028263,180.508480982488,144.134305824976,179.295797809185,169.240470578974,170.148886599339,166.311044563392,177.498011528017,179.202582199033,159.77012488935,158.052376686336
"ENSG00000259985",28.0491322776247,36.4338044443806,41.4233277593656,41.9374928493675,34.9807633626622,33.5168805396071,33.3404594802634,38.7751944267327,32.4240030999542,34.1559904337536,32.6010213071944,27.1417087714636,31.1957436382614,27.7703496360416,27.375693798292,33.9745149444586,38.5402182206659,30.7709946507225,31.5507869190827,41.5777611408481,34.7482879710933,43.0086197277679,38.3448299734439,28.426686454377
"ENSG00000259994",48.5465750958889,58.0971476275258,64.1655469213702,62.9062392740513,64.2889705043522,70.0807502191785,55.8942997169122,66.9753358279928,76.4280073070349,67.2446061664523,63.3908747639891,76.9015081858134,68.4293731419928,55.5406992720832,59.8843301837637,60.7423145976685,43.5672032059702,55.6244903301523,80.0037811162455,77.0709718708404,61.0442896789477,51.9687488377196,76.6896599468878,57.9904403669291
"ENSG00000260000",35.6008217369852,24.6174354353923,35.7377729688644,31.033744708532,34.9807633626622,35.5482066329166,24.5150437354878,32.606413495207,27.7920026571036,32.021241031644,27.1675177559953,32.5700505257563,35.221000881908,20.5706293600308,23.0982416423088,24.7087381414245,25.9727557574053,33.1379942392397,22.5362763707734,17.2395594974248,27.235144625992,31.3604518848308,28.1195419805255,31.8378888289023
"NORAD",4410.18664426653,4260.7857251577,4496.46161717349,4190.3942855088,4068.16823647393,4593.84396001948,4532.34128581698,4778.16145867602,4550.94043510071,4681.50543882635,4916.41512990996,4519.9992340744,4306.01893639098,4445.31300470266,4515.27849585578,4213.86938386876,4140.55996622894,4122.12978340256,5012.06786486,5068.4304922429,5181.25147936545,4796.35711255712,5411.73367025205,4430.01481705012
"ENSG00000260035",40.9948856365284,27.5715276876393,31.6766624042207,26.8399954235952,41.5987456204632,34.5325435862619,31.3792559814244,31.7251590764177,23.160002214253,17.0779952168768,19.0172624291967,26.2369851457481,26.1641720837031,34.9700699120524,31.6531459542751,24.7087381414245,37.7023873897819,27.2204952679469,45.0725527415468,38.5354859354202,59.1660038426724,59.1368521256809,52.4046009637067,48.8939007015285
"ENSG00000260063",31.2855706173506,16.7398560960667,12.1833316939311,19.2912467107091,15.1268165892593,13.2036196065119,22.5538402366488,20.2688516321557,15.0540014392644,21.347494021096,18.1116785039969,15.3803016371627,22.1389148400565,15.4279720200231,6.84392344957299,17.5020228501757,15.9187857867968,21.3029962966541,20.282648733696,17.2395594974248,30.9917162985427,26.880387329855,25.5632199822959,20.4672142471515
"ENSG00000260077",15.103378918721,16.7398560960667,17.0566643715035,16.774997139747,16.0722426260881,12.1879565598571,17.6508314895512,12.3375618630513,11.5800011071265,6.40424820632879,14.4893428031975,9.04723625715452,12.0757717309399,11.3138461480169,15.3988277615392,15.4429613383903,10.0539699706085,21.3029962966541,21.4094625522347,8.11273388114109,9.39142918137656,20.6082969528888,14.0597709902628,20.4672142471515
"MIR762HG",44.2313239762543,45.2960812011218,50.3577710015817,49.4862415622537,38.7624675099771,44.6891740528095,56.8749014663317,56.4002828025203,52.1100049820692,46.9644868464112,44.3736123347924,47.950352162919,43.2715153692013,40.1127272520601,41.9190311286346,43.2402917474928,49.4320190221585,46.1564919760838,46.1993665600854,34.4791189948496,53.5311463338464,43.0086197277679,53.6827619628215,50.0309681597036
"ENSG00000260118",14.0245661388123,7.87757933932553,9.74666535514484,10.9037481408356,10.3996864051158,13.2036196065119,24.5150437354878,14.1000707006301,9.2640008857012,14.9432458147672,15.3949267283974,5.42834175429271,9.05682879820492,9.25678321201386,11.9768660367527,13.3838998266049,16.7566166176808,10.651498148327,19.1558349151574,9.12682561628372,16.9045725264778,13.4401936649275,15.3379319893776,11.3706745817508
"ENSG00000260122",10.7881277990864,10.8316715915726,8.9344432422161,18.4524968537217,10.3996864051158,10.1566304665476,14.7090262412927,9.69379860668317,13.8960013285518,19.2127446189864,18.1116785039969,24.4275378943172,15.0947146636749,11.3138461480169,22.2427512111122,19.561084361961,15.9187857867968,16.5689971196198,13.521765822464,16.2254677622822,11.2697150176519,10.752154931942,10.2252879929184,10.2336071235757
"ENSG00000260136",14.0245661388123,17.7245535134824,19.4933307102897,16.774997139747,15.1268165892593,15.2349456998214,12.7478227424537,9.69379860668317,16.2120015499771,12.8084964126576,18.1116785039969,14.4755780114472,11.0694574200282,13.37090908402,23.0982416423088,16.472492094283,10.0539699706085,11.8349979425856,19.1558349151574,19.2677429677101,24.4177158715791,23.2963356858743,23.0068979840663,25.0154840798518
