"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miR_name","expression","significant"
"hsa-miR-22-3p",6065.94014958569,-0.0822224483632243,0.095315405576317,-0.862635456105682,0.388337929688958,0.995349032638086,"hsa-miR-22-3p","NS","grey80"
"hsa-miR-221-5p",11.4234859481835,-0.659445546692714,1.06527423042161,-0.619038298177665,0.53589112926831,0.995349032638086,"hsa-miR-221-5p","NS","grey80"
"hsa-miR-221-3p",129.61563005357,0.133169345820374,0.287310502181223,0.46350323016169,0.643003700046733,0.995349032638086,"hsa-miR-221-3p","NS","grey80"
"hsa-miR-2277-5p",170.250328138328,-0.19322011194378,0.29551619328342,-0.653839337184711,0.513215320045521,0.995349032638086,"hsa-miR-2277-5p","NS","grey80"
"hsa-miR-2277-3p",69.2561455093217,0.38959831171739,0.348388736863641,1.11828618578413,0.263444784957687,0.995349032638086,"hsa-miR-2277-3p","NS","grey80"
"hsa-miR-2355-5p",137.477711394528,0.236050891432042,0.250104399733352,0.943809431916059,0.345267039890994,0.995349032638086,"hsa-miR-2355-5p","NS","grey80"
"hsa-miR-2355-3p",969.006450278724,-0.0266053276742331,0.118009890955163,-0.225449981004912,0.821629233062577,0.995349032638086,"hsa-miR-2355-3p","NS","grey80"
"hsa-miR-23a-3p",166086.634747188,-0.0158396375487041,0.0490160231169153,-0.323152237604481,0.7465799507552,0.995349032638086,"hsa-miR-23a-3p","NS","grey80"
"hsa-miR-23b-3p",130611.159806521,0.010604456879476,0.0399971427816247,0.265130360370337,0.790909039788792,0.995349032638086,"hsa-miR-23b-3p","NS","grey80"
"hsa-miR-24-1-5p",1026.20999406035,-0.0601338397274169,0.124917319377376,-0.48138913024344,0.630239960612243,0.995349032638086,"hsa-miR-24-1-5p","NS","grey80"
"hsa-miR-2681-5p",24.9692220554657,0.533858197873844,0.638423492673784,0.836213272224664,0.403034933154385,0.995349032638086,"hsa-miR-2681-5p","NS","grey80"
"hsa-miR-26a-1-3p",41.8085496146751,-0.211739483135041,0.372616200019737,-0.56825087885021,0.569864628090571,0.995349032638086,"hsa-miR-26a-1-3p","NS","grey80"
"hsa-miR-27b-5p",1842.95689083159,0.0745390509622666,0.0941618231972895,0.791605859267307,0.428590529409186,0.995349032638086,"hsa-miR-27b-5p","NS","grey80"
"hsa-miR-27b-3p",333329.491631671,-0.0625307972539588,0.0608370166897402,-1.02784128243593,0.304024493667073,0.995349032638086,"hsa-miR-27b-3p","NS","grey80"
"hsa-miR-28-5p",171.649173803678,-0.154378179945796,0.308503109190679,-0.500410450808061,0.616786096118537,0.995349032638086,"hsa-miR-28-5p","NS","grey80"
"hsa-miR-28-3p",97.3923365051904,0.0870213775501441,0.32554027278425,0.267313708395819,0.789227632916093,0.995349032638086,"hsa-miR-28-3p","NS","grey80"
"hsa-miR-296-5p",207.548031330719,0.138932692850163,0.252625776832,0.54995453984316,0.582350554529363,0.995349032638086,"hsa-miR-296-5p","NS","grey80"
"hsa-miR-296-3p",510.116369996321,0.0955707651486516,0.15192229337046,0.629076635353336,0.529298885947039,0.995349032638086,"hsa-miR-296-3p","NS","grey80"
"hsa-miR-299-5p",46.2057528611567,-0.103655516147223,0.489931746551747,-0.211571340042311,0.832441470486086,0.995349032638086,"hsa-miR-299-5p","NS","grey80"
"hsa-miR-299-3p",53.0529483503989,0.349931958421994,0.426817128287416,0.819863907116566,0.412293694340342,0.995349032638086,"hsa-miR-299-3p","NS","grey80"
"hsa-miR-29a-3p",20267.0900110769,-0.039369684853941,0.0827484809049578,-0.475775318451582,0.63423445541906,0.995349032638086,"hsa-miR-29a-3p","NS","grey80"
"hsa-miR-29b-2-5p",53.4477462616496,0.310091938166605,0.511151970756101,0.606653120612865,0.544081139315493,0.995349032638086,"hsa-miR-29b-2-5p","NS","grey80"
"hsa-miR-29c-3p",811.410794853127,-0.17217464330537,0.147897854340793,-1.1641456468235,0.24436499270562,0.995349032638086,"hsa-miR-29c-3p","NS","grey80"
"hsa-miR-301a-5p",1019.77447869061,-0.129009408378758,0.111531324144362,-1.156710093496,0.247390824490784,0.995349032638086,"hsa-miR-301a-5p","NS","grey80"
"hsa-miR-301a-3p",688.713215796373,0.0828442146395817,0.155865154293524,0.531512094637718,0.595063962366539,0.995349032638086,"hsa-miR-301a-3p","NS","grey80"
"hsa-miR-301b-3p",243.04751413249,-0.139902936066284,0.206218417868874,-0.678421149342939,0.497504703175608,0.995349032638086,"hsa-miR-301b-3p","NS","grey80"
"hsa-miR-302a-5p",10.6210761027636,1.02534245076661,1.0329382798243,0.992646386327187,0.320882310921652,0.995349032638086,"hsa-miR-302a-5p","|log2FC| > 1","darkgreen"
"hsa-miR-3059-5p",61.3764336082496,0.0927153043930777,0.369517625199219,0.25090901778526,0.801884452211821,0.995349032638086,"hsa-miR-3059-5p","NS","grey80"
"hsa-miR-3064-5p",51.0209268828835,-0.30391883267709,0.481891834480542,-0.630678527692217,0.528250741569543,0.995349032638086,"hsa-miR-3064-5p","NS","grey80"
"hsa-miR-3064-3p",12.6795935008951,-0.707753649519915,0.84058119517587,-0.841981302439005,0.399798419407092,0.995349032638086,"hsa-miR-3064-3p","NS","grey80"
"hsa-miR-3074-5p",41.0420173113006,-0.384081684649862,0.623203771212226,-0.616301926258829,0.537695267775294,0.995349032638086,"hsa-miR-3074-5p","NS","grey80"
"hsa-miR-30a-5p",82443.558003194,-0.0803931153313907,0.0709037421255711,-1.13383458928041,0.256863938927588,0.995349032638086,"hsa-miR-30a-5p","NS","grey80"
"hsa-miR-30a-3p",792.645621701467,-0.165981656320947,0.162340841982265,-1.02242697705781,0.306578857777981,0.995349032638086,"hsa-miR-30a-3p","NS","grey80"
"hsa-miR-30b-5p",14048.699427986,0.0493674272832377,0.0604878045315401,0.816155052503122,0.414411460431674,0.995349032638086,"hsa-miR-30b-5p","NS","grey80"
"hsa-miR-30c-1-3p",92.0531484054708,-0.239840596625074,0.34210622280601,-0.701070546621056,0.483258990230081,0.995349032638086,"hsa-miR-30c-1-3p","NS","grey80"
"hsa-miR-30d-5p",285357.650787877,-0.0639611836815095,0.0542977293759961,-1.17797160979968,0.238807924603151,0.995349032638086,"hsa-miR-30d-5p","NS","grey80"
"hsa-miR-30d-3p",75.8201236301313,-0.0693949504038788,0.342433889132305,-0.20265211068834,0.839406956533221,0.995349032638086,"hsa-miR-30d-3p","NS","grey80"
"hsa-miR-3115",27.5755856859611,-0.540600136384405,0.878697790072801,-0.615228742454919,0.538403668671559,0.995349032638086,"hsa-miR-3115","NS","grey80"
"hsa-miR-3125",21.3876392685401,0.660682684719582,0.570335477383921,1.15841063885781,0.24669649961805,0.995349032638086,"hsa-miR-3125","NS","grey80"
"hsa-miR-3126-5p",20.7634480730092,0.585498859444152,0.657922875664126,0.889920203569655,0.373508734672394,0.995349032638086,"hsa-miR-3126-5p","NS","grey80"
"hsa-miR-3127-5p",17.4903809671759,0.276392477921908,0.980427832444747,0.281910069028446,0.778012468583623,0.995349032638086,"hsa-miR-3127-5p","NS","grey80"
"hsa-miR-3127-3p",34.6451056706502,-0.245238477401546,0.517771696479506,-0.473642107262719,0.635755143267374,0.995349032638086,"hsa-miR-3127-3p","NS","grey80"
"hsa-miR-3128",8.05141178685661,-1.4920156746261,2.12161250278825,-0.70324607941614,0.481902407285996,0.995349032638086,"hsa-miR-3128","|log2FC| > 1","darkgreen"
"hsa-miR-3131",8.41343569494406,-1.27860383939446,1.0817062391917,-1.18202502035108,0.237195773231972,0.995349032638086,"hsa-miR-3131","|log2FC| > 1","darkgreen"
"hsa-miR-3143",144.011275216431,0.214774868167732,0.270705166146824,0.793390356101453,0.427550427744872,0.995349032638086,"hsa-miR-3143","NS","grey80"
"hsa-miR-3149",9.59597130201896,-0.966398125382275,1.25812579277696,-0.768125199348484,0.442412807219863,0.995349032638086,"hsa-miR-3149","NS","grey80"
"hsa-miR-3154",33.3723566732777,-0.558271316324464,0.632588193388646,-0.882519342218384,0.377496024691277,0.995349032638086,"hsa-miR-3154","NS","grey80"
"hsa-miR-3174",9.96896781405034,1.0579940466825,1.1873960640427,0.891020341671317,0.372918257497177,0.995349032638086,"hsa-miR-3174","|log2FC| > 1","darkgreen"
"hsa-miR-3176",38.1595394292157,-0.285551161026957,0.52422831810095,-0.544707622933046,0.585954621192137,0.995349032638086,"hsa-miR-3176","NS","grey80"
"hsa-miR-3177-3p",161.741560852706,0.134832300985453,0.291518081981963,0.462517796730688,0.643710042953807,0.995349032638086,"hsa-miR-3177-3p","NS","grey80"
"hsa-miR-3187-3p",76.6944572307342,-0.146331743602915,0.338370305064115,-0.432460358999848,0.665406857328689,0.995349032638086,"hsa-miR-3187-3p","NS","grey80"
"hsa-miR-3188",9.15042708478018,-0.476832129207713,1.45935301292646,-0.326742141883489,0.743862923483203,0.995349032638086,"hsa-miR-3188","NS","grey80"
"hsa-miR-32-3p",673.860701926852,-0.0953986057359291,0.124924899529803,-0.763647648267031,0.445077246298174,0.995349032638086,"hsa-miR-32-3p","NS","grey80"
"hsa-miR-3200-5p",58.2618473344813,0.178076023857414,0.52973780451619,0.336158798445678,0.736751120844736,0.995349032638086,"hsa-miR-3200-5p","NS","grey80"
"hsa-miR-3200-3p",292.25801979377,0.183998235359909,0.165038722256441,1.11487918013573,0.264902199667387,0.995349032638086,"hsa-miR-3200-3p","NS","grey80"
"hsa-miR-323a-5p",19.3663657365401,0.321762903051723,0.997753860242486,0.322487254495336,0.747083591888415,0.995349032638086,"hsa-miR-323a-5p","NS","grey80"
"hsa-miR-324-5p",1518.40260338637,-0.163116551049676,0.142407963836858,-1.14541733941608,0.252036318978311,0.995349032638086,"hsa-miR-324-5p","NS","grey80"
"hsa-miR-324-3p",226.537677362539,0.0450976373827617,0.210764572164933,0.213971622078262,0.830569186980239,0.995349032638086,"hsa-miR-324-3p","NS","grey80"
"hsa-miR-326",54.0962600059794,-0.418702236227574,0.489790755705973,-0.854859409553507,0.39262898400026,0.995349032638086,"hsa-miR-326","NS","grey80"
"hsa-miR-328-3p",2432.6023994338,-0.0457765894479978,0.118885160724688,-0.385048808185626,0.700201254400429,0.995349032638086,"hsa-miR-328-3p","NS","grey80"
"hsa-miR-330-5p",277.526966111055,-0.0740575510375304,0.172891500357716,-0.428346974167637,0.66839852405179,0.995349032638086,"hsa-miR-330-5p","NS","grey80"
