"X.1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","expression","significant"
"AOPEP",1410.03815309272,0.656587916581172,0.0410285792754773,16.0031843211694,1.21403524386057e-57,1.79267832113783e-55,"AOPEP","P.adj < 0.05","blue"
"EPPK1",296.326373942615,2.03473936675049,0.130781598550991,15.5583001683311,1.39761604894237e-54,2.04003749488726e-52,"EPPK1","P.adj < 0.05 & |log2FC| > 1","red"
"POPDC2",530.457639928482,0.904746357877781,0.0583496353708763,15.5056043131567,3.17911434159412e-54,4.58767875271633e-52,"POPDC2","P.adj < 0.05","blue"
"USP36",1505.91545069639,0.816733091902252,0.0526776125010003,15.5043680441429,3.2408967517534e-54,4.62428627533893e-52,"USP36","P.adj < 0.05","blue"
"TFPI2",7017.07815875416,1.27285211520512,0.0821366990146287,15.4967527362941,3.64872901325663e-54,5.14835663770511e-52,"TFPI2","P.adj < 0.05 & |log2FC| > 1","red"
"PRMT9",393.787677610064,0.878454621828231,0.0569868829372737,15.4150319608665,1.29706666550601e-53,1.81004940497372e-51,"PRMT9","P.adj < 0.05","blue"
"DNAJB11",810.728022486015,0.760486845829898,0.0498544820711451,15.2541319102391,1.54536563182985e-52,2.13310849550078e-50,"DNAJB11","P.adj < 0.05","blue"
"TOB2",319.45299683678,0.985580592764147,0.0674224242067525,14.6179940036247,2.1566137605429e-48,2.94482130592841e-46,"TOB2","P.adj < 0.05","blue"
"TUFT1",222.739530142784,1.10406324989971,0.0769884285641669,14.340638853013,1.21927861687864e-46,1.64719352720659e-44,"TUFT1","P.adj < 0.05 & |log2FC| > 1","red"
"NR2F1",1156.66194316551,0.679190090156016,0.0476133261619786,14.2647058062156,3.63120016014589e-46,4.85395903512554e-44,"NR2F1","P.adj < 0.05","blue"
"PTGER2",579.389545717652,0.939990758134483,0.0659736089468026,14.2479814753266,4.61426628228781e-46,6.10380911653884e-44,"PTGER2","P.adj < 0.05","blue"
"SPTY2D1",686.059930595244,0.648094137330257,0.0459024903687806,14.1189319386262,2.90358639619546e-45,3.8013034685862e-43,"SPTY2D1","P.adj < 0.05","blue"
"SELENOK",459.212625783881,0.849285349438497,0.0604922815594995,14.0395655039585,8.92581891082444e-45,1.1566221872302e-42,"SELENOK","P.adj < 0.05","blue"
"CEP295NL",124.929183240777,1.73981158318302,0.124912662691667,13.9282242944221,4.2683591252499e-44,5.47514065975237e-42,"CEP295NL","P.adj < 0.05 & |log2FC| > 1","red"
"SKIL",2001.87518498358,0.843406948812297,0.0610126621553474,13.8234739973295,1.83972552477399e-43,2.33626744391049e-41,"SKIL","P.adj < 0.05","blue"
"TP53INP2",320.787622503431,1.02950697033098,0.0745713003863881,13.8056727587777,2.35563027917047e-43,2.96179692229563e-41,"TP53INP2","P.adj < 0.05 & |log2FC| > 1","red"
"DUSP8",252.01677429847,1.29614072673201,0.0968239484471241,13.3865716852049,7.24484417963832e-41,9.01983100364971e-39,"DUSP8","P.adj < 0.05 & |log2FC| > 1","red"
"HSPA5",6847.35472677551,0.618958038927996,0.0470107838956145,13.1662990411384,1.37158071507261e-39,1.69103917482593e-37,"HSPA5","P.adj < 0.05","blue"
"ZYX",836.079198637869,0.768139662916283,0.0584259781694093,13.1472281163872,1.76527901689726e-39,2.15550752265175e-37,"ZYX","P.adj < 0.05","blue"
"WDR1",1557.47483863227,0.521912658237209,0.0410346156405444,12.7188387192186,4.64715278931e-37,5.62039935918549e-35,"WDR1","P.adj < 0.05","blue"
"NABP1",164.172113867203,1.0863208450955,0.0856562200881573,12.6823346159504,7.4091660099882e-37,8.87632067555096e-35,"NABP1","P.adj < 0.05 & |log2FC| > 1","red"
"NAP1L5",470.325621450042,0.662551823404966,0.0524424798136048,12.6338766923277,1.37341476305452e-36,1.62999944635788e-34,"NAP1L5","P.adj < 0.05","blue"
"CNN2",270.666037404619,1.00502336616831,0.0795873054488297,12.6279355796821,1.48113168253563e-36,1.74156400338147e-34,"CNN2","P.adj < 0.05 & |log2FC| > 1","red"
